motor_id,velocity,power_in,torque,timestamp
0,35.037,1.6652,0,1582204815849
0,35.037,1.6866,0,1582204815850
0,35.037,1.6702,0,1582204815851
0,34.808,1.7183,0,1582204815852
0,35.266,1.6703,0,1582204815853
0,35.037,1.7093,0,1582204815854
0,35.037,1.7342,0,1582204815855
0,35.037,1.6762,0,1582204815856
0,35.037,1.6798,0,1582204815857
0,35.037,1.6947,0,1582204815858
0,35.266,1.6784,0,1582204815859
0,35.037,1.7314,0,1582204815860
0,34.808,1.7451,0,1582204815861
0,35.037,1.708,0,1582204815862
0,35.037,1.7065,0,1582204815863
0,35.037,1.6897,0,1582204815864
0,35.037,1.6764,0,1582204815865
0,35.037,1.6629,0,1582204815866
0,35.266,1.6643,0,1582204815867
0,35.037,1.76,0,1582204815868
0,35.037,1.6969,0,1582204815869
0,35.037,1.7091,0,1582204815870
0,34.808,1.7466,0,1582204815871
0,35.037,1.6239,0,1582204815872
0,35.266,1.6315,0,1582204815873
0,35.037,1.6942,0,1582204815874
0,34.808,1.6994,0,1582204815875
0,35.037,1.7077,0,1582204815876
0,35.266,1.7138,0,1582204815877
0,34.808,1.6959,0,1582204815878
0,34.808,1.7743,0,1582204815879
0,34.808,1.7313,0,1582204815880
0,35.037,1.7025,0,1582204815881
0,35.266,1.7147,0,1582204815882
0,35.266,1.7163,0,1582204815883
0,35.037,1.7198,0,1582204815884
0,35.037,1.6871,0,1582204815885
0,34.808,1.6948,0,1582204815886
0,35.037,1.6891,0,1582204815887
0,35.037,1.6526,0,1582204815888
0,34.808,1.6778,0,1582204815889
0,34.808,1.714,0,1582204815890
0,35.037,1.6383,0,1582204815891
0,35.037,1.7191,0,1582204815892
0,35.037,1.7433,0,1582204815893
0,35.037,1.675,0,1582204815894
0,35.037,1.7001,0,1582204815895
0,35.037,1.7402,0,1582204815896
0,35.037,1.6817,0,1582204815897
0,35.266,1.7288,0,1582204815898
0,35.037,1.7002,0,1582204815899
0,35.037,1.6784,0,1582204815900
0,35.037,1.7067,0,1582204815901
0,35.037,1.7138,0,1582204815902
0,34.808,1.6719,0,1582204815903
0,35.037,1.6513,0,1582204815904
0,35.266,1.6743,0,1582204815905
0,35.037,1.6754,0,1582204815906
0,34.808,1.6862,0,1582204815907
0,34.808,1.7285,0,1582204815908
0,35.037,1.704,0,1582204815909
0,35.037,1.6788,0,1582204815910
0,35.037,1.6704,0,1582204815911
0,35.037,1.6563,0,1582204815912
0,34.808,1.7265,0,1582204815913
0,35.037,1.7159,0,1582204815914
0,35.037,1.6579,0,1582204815915
0,35.266,1.711,0,1582204815916
0,34.808,1.6939,0,1582204815917
0,34.808,1.6964,0,1582204815918
0,35.037,1.6391,0,1582204815919
0,35.037,1.7788,0,1582204815920
0,35.037,1.7069,0,1582204815921
0,35.037,1.7484,0,1582204815922
0,35.037,1.744,0,1582204815923
0,35.037,1.6753,0,1582204815924
0,34.808,1.7528,0,1582204815925
0,35.037,1.6883,0,1582204815926
0,35.037,1.7119,0,1582204815927
0,35.037,1.7011,0,1582204815928
0,35.037,1.7166,0,1582204815929
0,34.808,1.6859,0,1582204815930
0,35.266,1.6553,0,1582204815931
0,35.266,1.6572,0,1582204815932
0,35.037,1.7058,0,1582204815933
0,35.037,1.6863,0,1582204815934
0,35.037,1.7167,0,1582204815935
0,34.808,1.7077,0,1582204815936
0,34.808,1.6972,0,1582204815937
0,34.808,1.6727,0,1582204815938
0,34.808,1.733,0,1582204815939
0,35.037,1.7149,0,1582204815940
0,35.037,1.6783,0,1582204815941
0,35.037,1.6622,0,1582204815942
0,35.037,1.6388,0,1582204815943
0,34.808,1.6856,0,1582204815944
0,35.037,1.6365,0,1582204815945
0,35.037,1.6686,0,1582204815946
0,35.266,1.6603,0,1582204815947
0,35.037,1.6728,0,1582204815948
0,34.808,1.7208,0,1582204815949
0,34.808,1.7293,0,1582204815950
0,34.808,1.7266,0,1582204815951
0,35.037,1.6989,0,1582204815952
0,34.808,1.6786,0,1582204815953
0,34.808,1.6768,0,1582204815954
0,34.808,1.7122,0,1582204815955
0,35.037,1.6493,0,1582204815956
0,35.037,1.6516,0,1582204815957
0,35.037,1.6909,0,1582204815958
0,35.037,1.7197,0,1582204815959
0,35.037,1.7152,0,1582204815960
0,35.037,1.7088,0,1582204815961
0,35.037,1.6541,0,1582204815962
0,34.808,1.7119,0,1582204815963
0,34.808,1.6818,0,1582204815964
0,35.037,1.7162,0,1582204815965
0,35.037,1.6996,0,1582204815966
0,35.266,1.695,0,1582204815967
0,35.037,1.7106,0,1582204815968
0,35.037,1.6716,0,1582204815969
0,35.037,1.5899,0,1582204815970
0,35.037,1.6548,0,1582204815971
0,35.266,1.675,0,1582204815972
0,35.037,1.693,0,1582204815973
0,34.808,1.6577,0,1582204815974
0,34.808,1.6707,0,1582204815975
0,35.037,1.6607,0,1582204815976
0,35.037,1.6128,0,1582204815977
0,35.037,1.6806,0,1582204815978
0,34.808,1.652,0,1582204815979
0,35.037,1.689,0,1582204815980
0,35.037,1.7123,0,1582204815981
0,34.808,1.6678,0,1582204815982
0,34.808,1.6816,0,1582204815983
0,34.808,1.6599,0,1582204815984
0,35.037,1.6766,0,1582204815985
0,35.037,1.6833,0,1582204815986
0,34.808,1.6925,0,1582204815987
0,35.037,1.7021,0,1582204815988
0,35.037,1.7461,0,1582204815989
0,35.266,1.7124,0,1582204815990
0,34.579,1.6286,0,1582204815991
0,34.579,1.6495,0,1582204815992
0,34.579,1.6587,0,1582204815993
0,34.35,1.6792,0,1582204815994
0,34.808,1.6319,0,1582204815995
0,34.579,1.6698,0,1582204815996
0,34.579,1.6954,0,1582204815997
0,34.35,1.6395,0,1582204815998
0,34.35,1.6416,0,1582204815999
0,34.579,1.6565,0,1582204816000
0,34.808,1.6413,0,1582204816001
0,34.35,1.6946,0,1582204816002
0,34.35,1.7333,0,1582204816003
0,34.579,1.6693,0,1582204816004
0,34.579,1.694,0,1582204816005
0,34.579,1.6502,0,1582204816006
0,34.579,1.6394,0,1582204816007
0,34.579,1.6517,0,1582204816008
0,34.579,1.6278,0,1582204816009
0,34.579,1.7199,0,1582204816010
0,34.579,1.6595,0,1582204816011
0,34.35,1.6974,0,1582204816012
0,34.35,1.706,0,1582204816013
0,34.579,1.589,0,1582204816014
0,34.808,1.5959,0,1582204816015
0,34.35,1.6573,0,1582204816016
0,34.35,1.6618,0,1582204816017
0,34.579,1.6683,0,1582204816018
0,34.579,1.6758,0,1582204816019
0,34.35,1.6577,0,1582204816020
0,34.35,1.7335,0,1582204816021
0,34.35,1.6898,0,1582204816022
0,34.579,1.6639,0,1582204816023
0,34.579,1.677,0,1582204816024
0,34.579,1.6776,0,1582204816025
0,34.35,1.6818,0,1582204816026
0,34.579,1.6496,0,1582204816027
0,34.35,1.6584,0,1582204816028
0,34.35,1.653,0,1582204816029
0,34.35,1.6167,0,1582204816030
0,34.35,1.6407,0,1582204816031
0,34.35,1.7034,0,1582204816032
0,34.579,1.6029,0,1582204816033
0,34.579,1.6818,0,1582204816034
0,34.579,1.7041,0,1582204816035
0,34.35,1.6378,0,1582204816036
0,34.579,1.6621,0,1582204816037
0,34.579,1.7019,0,1582204816038
0,34.579,1.6461,0,1582204816039
0,34.808,1.6891,0,1582204816040
0,34.579,1.6635,0,1582204816041
0,34.579,1.643,0,1582204816042
0,34.35,1.695,0,1582204816043
0,34.579,1.6738,0,1582204816044
0,34.35,1.6606,0,1582204816045
0,34.579,1.6403,0,1582204816046
0,34.579,1.6628,0,1582204816047
0,34.579,1.6374,0,1582204816048
0,34.35,1.6492,0,1582204816049
0,34.35,1.6909,0,1582204816050
0,34.35,1.6648,0,1582204816051
0,34.579,1.6412,0,1582204816052
0,34.579,1.6587,0,1582204816053
0,34.579,1.6194,0,1582204816054
0,34.35,1.6885,0,1582204816055
0,34.579,1.6791,0,1582204816056
0,34.35,1.6209,0,1582204816057
0,34.808,1.6959,0,1582204816058
0,34.35,1.656,0,1582204816059
0,34.35,1.6571,0,1582204816060
0,34.579,1.6024,0,1582204816061
0,34.579,1.7385,0,1582204816062
0,34.579,1.6685,0,1582204816063
0,34.579,1.7087,0,1582204816064
0,34.579,1.7045,0,1582204816065
0,34.579,1.639,0,1582204816066
0,34.35,1.7138,0,1582204816067
0,34.35,1.6507,0,1582204816068
0,34.579,1.6725,0,1582204816069
0,34.579,1.6639,0,1582204816070
0,34.579,1.6797,0,1582204816071
0,34.35,1.65,0,1582204816072
0,34.808,1.6182,0,1582204816073
0,34.808,1.6215,0,1582204816074
0,34.579,1.6685,0,1582204816075
0,34.579,1.6768,0,1582204816076
0,34.35,1.6789,0,1582204816077
0,34.35,1.6706,0,1582204816078
0,34.35,1.6606,0,1582204816079
0,34.35,1.6351,0,1582204816080
0,34.35,1.6929,0,1582204816081
0,34.579,1.6765,0,1582204816082
0,34.579,1.6424,0,1582204816083
0,34.579,1.6264,0,1582204816084
0,34.579,1.6021,0,1582204816085
0,34.35,1.6489,0,1582204816086
0,34.579,1.6009,0,1582204816087
0,34.579,1.6328,0,1582204816088
0,34.579,1.6229,0,1582204816089
0,34.579,1.634,0,1582204816090
0,34.35,1.6829,0,1582204816091
0,34.35,1.692,0,1582204816092
0,34.35,1.6884,0,1582204816093
0,34.35,1.6861,0,1582204816094
0,34.35,1.641,0,1582204816095
0,34.35,1.6411,0,1582204816096
0,34.35,1.6742,0,1582204816097
0,34.35,1.6391,0,1582204816098
0,34.579,1.6397,0,1582204816099
0,34.35,1.6531,0,1582204816100
0,34.579,1.6805,0,1582204816101
0,34.579,1.6777,0,1582204816102
0,34.579,1.6723,0,1582204816103
0,34.579,1.6189,0,1582204816104
0,34.35,1.6742,0,1582204816105
0,34.35,1.6458,0,1582204816106
0,34.35,1.7047,0,1582204816107
0,34.579,1.6622,0,1582204816108
0,34.579,1.6576,0,1582204816109
0,34.579,1.67,0,1582204816110
0,34.579,1.6341,0,1582204816111
0,34.579,1.5551,0,1582204816112
0,34.579,1.6197,0,1582204816113
0,34.808,1.664,0,1582204816114
0,34.579,1.6553,0,1582204816115
0,34.35,1.6481,0,1582204816116
0,34.35,1.6606,0,1582204816117
0,34.579,1.623,0,1582204816118
0,34.579,1.578,0,1582204816119
0,34.35,1.6695,0,1582204816120
0,34.35,1.6423,0,1582204816121
0,34.579,1.6524,0,1582204816122
0,34.35,1.6752,0,1582204816123
0,34.35,1.6588,0,1582204816124
0,34.35,1.6449,0,1582204816125
0,34.35,1.6251,0,1582204816126
0,34.35,1.6407,0,1582204816127
0,34.579,1.6457,0,1582204816128
0,34.35,1.6552,0,1582204816129
0,34.579,1.6626,0,1582204816130
0,34.579,1.706,0,1582204816131
0,34.808,1.6743,0,1582204816132
0,34.121,1.5919,0,1582204816133
0,34.121,1.6123,0,1582204816134
0,33.892,1.6226,0,1582204816135
0,33.892,1.6417,0,1582204816136
0,34.35,1.5959,0,1582204816137
0,34.121,1.6339,0,1582204816138
0,33.892,1.6847,0,1582204816139
0,33.892,1.6035,0,1582204816140
0,33.892,1.6324,0,1582204816141
0,34.121,1.6206,0,1582204816142
0,34.35,1.605,0,1582204816143
0,33.892,1.6571,0,1582204816144
0,33.663,1.6943,0,1582204816145
0,34.121,1.6317,0,1582204816146
0,33.892,1.6565,0,1582204816147
0,34.121,1.64,0,1582204816148
0,34.121,1.6014,0,1582204816149
0,34.121,1.6132,0,1582204816150
0,34.121,1.591,0,1582204816151
0,34.121,1.6796,0,1582204816152
0,34.121,1.622,0,1582204816153
0,33.892,1.659,0,1582204816154
0,33.892,1.6677,0,1582204816155
0,34.121,1.5535,0,1582204816156
0,34.35,1.5848,0,1582204816157
0,33.892,1.6453,0,1582204816158
0,33.892,1.6241,0,1582204816159
0,34.121,1.6572,0,1582204816160
0,34.121,1.6386,0,1582204816161
0,33.892,1.6213,0,1582204816162
0,33.892,1.695,0,1582204816163
0,33.892,1.6783,0,1582204816164
0,33.892,1.6252,0,1582204816165
0,34.121,1.6389,0,1582204816166
0,34.121,1.6405,0,1582204816167
0,33.892,1.67,0,1582204816168
0,34.121,1.6386,0,1582204816169
0,33.892,1.6477,0,1582204816170
0,33.892,1.6154,0,1582204816171
0,33.892,1.5792,0,1582204816172
0,33.892,1.6041,0,1582204816173
0,33.892,1.6648,0,1582204816174
0,33.892,1.5931,0,1582204816175
0,33.892,1.6433,0,1582204816176
0,34.121,1.6649,0,1582204816177
0,33.892,1.6282,0,1582204816178
0,34.121,1.6221,0,1582204816179
0,34.121,1.6619,0,1582204816180
0,34.121,1.6086,0,1582204816181
0,34.35,1.6505,0,1582204816182
0,34.121,1.6255,0,1582204816183
0,34.121,1.6051,0,1582204816184
0,33.892,1.6567,0,1582204816185
0,34.121,1.6621,0,1582204816186
0,33.892,1.6233,0,1582204816187
0,34.121,1.6036,0,1582204816188
